Device: mps
Dataset: 133160 samples, 20 classes, input shape per sample: (3, 32, 21)
Model: STGCNGestureNet-jumbo  |  trainable params: 51,773,842
/Users/rickeabati/Library/Python/3.12/lib/python/site-packages/torch/utils/data/dataloader.py:775: UserWarning: 'pin_memory' argument is set as true but not supported on MPS now, device pinned memory won't be used.
  super().__init__(loader)
  epoch 015 [1100/1665]  loss=0.6863
  epoch 015 [1200/1665]  loss=0.6860
  epoch 015 [1300/1665]  loss=0.6856
  epoch 015 [1400/1665]  loss=0.6856
  epoch 015 [1500/1665]  loss=0.6858
  epoch 015 [1600/1665]  loss=0.6858
epoch 015 | train_loss=0.6857 | val_loss=0.2822 | val_acc=0.9407 | val_f1=0.9242 | lr=9.21e-04
  epoch 016 [ 100/1665]  loss=0.6895
  epoch 016 [ 200/1665]  loss=0.6899
  epoch 016 [ 300/1665]  loss=0.6871
  epoch 016 [ 400/1665]  loss=0.6859
  epoch 016 [ 500/1665]  loss=0.6858
  epoch 016 [ 600/1665]  loss=0.6857
  epoch 016 [ 700/1665]  loss=0.6857
  epoch 016 [ 800/1665]  loss=0.6855
  epoch 016 [ 900/1665]  loss=0.6855
  epoch 016 [1000/1665]  loss=0.6854
  epoch 016 [1100/1665]  loss=0.6855
  epoch 016 [1200/1665]  loss=0.6855
  epoch 016 [1300/1665]  loss=0.6859
  epoch 016 [1400/1665]  loss=0.6853
  epoch 016 [1500/1665]  loss=0.6851
  epoch 016 [1600/1665]  loss=0.6848
epoch 016 | train_loss=0.6851 | val_loss=0.2775 | val_acc=0.9443 | val_f1=0.9278 | lr=9.05e-04
  epoch 017 [ 100/1665]  loss=0.6984
  epoch 017 [ 200/1665]  loss=0.6920
  epoch 017 [ 300/1665]  loss=0.6885
  epoch 017 [ 400/1665]  loss=0.6873
  epoch 017 [ 500/1665]  loss=0.6868
  epoch 017 [ 600/1665]  loss=0.6857
  epoch 017 [ 700/1665]  loss=0.6853
  epoch 017 [ 800/1665]  loss=0.6852
  epoch 017 [ 900/1665]  loss=0.6848
  epoch 017 [1000/1665]  loss=0.6845
  epoch 017 [1100/1665]  loss=0.6842
  epoch 017 [1200/1665]  loss=0.6839
  epoch 017 [1300/1665]  loss=0.6844
  epoch 017 [1400/1665]  loss=0.6840
  epoch 017 [1500/1665]  loss=0.6837
  epoch 017 [1600/1665]  loss=0.6834
epoch 017 | train_loss=0.6835 | val_loss=0.2832 | val_acc=0.9435 | val_f1=0.9271 | lr=8.88e-04
  epoch 018 [ 100/1665]  loss=0.6889
  epoch 018 [ 200/1665]  loss=0.6874
  epoch 018 [ 300/1665]  loss=0.6845
  epoch 018 [ 400/1665]  loss=0.6853
  epoch 018 [ 500/1665]  loss=0.6848
  epoch 018 [ 600/1665]  loss=0.6840
  epoch 018 [ 700/1665]  loss=0.6839
  epoch 018 [ 800/1665]  loss=0.6840
  epoch 018 [ 900/1665]  loss=0.6842
